title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
Factory Girl,http://www.imdb.com/title/tt1920945/,UK,1973,$57.8M,"Christian Noonan Leonard Panama Ford, Tammy Blanchard, Morgan Spector",1.0,Jimi Packer Hickok Menezes Parker) Essex,Musician,Unknown,,0.0,Male,Jack Lynch Lee Martin Winslet James von Sydow
PiÌ±ero,http://www.imdb.com/title/tt0039035/,US/UK,1987,$126M,"Mervyn Walker Hancock Trent Ford, Tammy Blanchard, Morgan Spector",2.0,Buford Eichmann Cent' UK Peron Essex,Author,Unknown,Mediterranean,0.0,Male,"Omar Svenson FrÌÄå¦ler, Kate August, Billie Ellison Sydow"
Unbroken,http://www.imdb.com/title/tt0031981/,Canada,1961,$25.8M,"Alexander V. Caunes Stanislav Pulcini Tammy Blanchard, Morgan Spector",1.0,Reginald Ehrlich Wood Munro Kid) Essex,Medicine,Unknown,,0.0,Male,Clancy Whitaker (young) Jean Winslet Max von Sydow
My Dinner with Andre,http://www.imdb.com/title/tt0127536/,US,1955,$75.3M,"Mark Rash Caunes Hanson Ford, Tammy Blanchard, Morgan Spector",1.0,Douglas Zuckerberg Waters (Tina Peron Essex,Other,Unknown,African,0.0,Male,"Pierce Cagney (young) and August, James Nichols Sydow"
Louis Cyr,http://www.imdb.com/title/tt3957278/,Canada/UK,1927,$1.73M,"Max Besson Hill Rosenberg Leyburn Tammy Blanchard, Morgan Spector",1.0,Danny Joyce Szabo of Kid) Essex,Other,Unknown,Middle Eastern (White),0.0,Male,"Cole Ian Bernal Kate Kemp, Billie von Sydow"
Spitfire,http://www.imdb.com/title/tt1259014/,US/Canada,1986,$97M,"Kevin Hirschbiegel Randy Robert Sokolov Tammy Blanchard, Morgan Spector",1.0,Jeffrey Joyce Greene Richard Scots Essex,Criminal,Unknown,Native American,0.0,Male,"RenÌ©e Watts Jones Jean Kemp, James Whitelaw Sydow"
Fire in the Sky,http://www.imdb.com/title/tt0320244/,US/UK/Canada,1995,$256M,"Ed Palmer, Young Solt Ford, Tammy Blanchard, Morgan Spector",1.1816488784791233,Domino Frank BÌ_low Rocha Scots Essex,Military,Unknown,Asian,0.14745554718029016,Male,"Fred Muni Robinson and Luke, James von Sydow"
The Wizard of Speed and Time,http://www.imdb.com/title/tt0123324/,UK,1925,$30.5M,"Kenneth Milius Peebles Pal Leyburn Tammy Blanchard, Morgan Spector",1.0,Kimani Pierrepoint Nichols Aurore Scots Essex,Activist,Known,,0.0,Female,"Audie Friel Robinson Kate Luke, James von Sydow"
Testament of Youth,http://www.imdb.com/title/tt0035575/,US/UK,1921,$1.92M,"Anthony Scott Jeffrey Requa Sokolov Tammy Blanchard, Morgan Spector",1.0,"Nathan Laing ""Rocky"" Wead Parker) Essex",Comedian,Known,,0.0,Female,"Erich Kingsley Young Martin Luke, Max von Sydow"
Beau Brummell,http://www.imdb.com/title/tt0469903/,Canada,1971,$1.15M,"Oren Jackson Chomsky Friedman Ford, Tammy Blanchard, Morgan Spector",1.0,"Richard Cobb King, Assisi Jr. Essex",Criminal,Known,African American,0.0,Female,Jack Kinnear Bernal Kate Liya Austin Whitelaw Sydow
My Left Foot,http://www.imdb.com/title/tt0104797/,US,1921,$59.7M,"Juraj Till Curtis Barbato Sokolov Tammy Blanchard, Morgan Spector",1.0,Nathan Lacey Maruge England Kid) Essex,Author (poet),Known,White,0.0,Female,"Ingrid Huston Law and Arthur, Kebede von Sydow"
Francis of Assisi,http://www.imdb.com/title/tt0034277/,Canada/UK,1916,$64.4M,"Andy Hawks Concini Weisman Bliss Tammy Blanchard, Morgan Spector",4.0,Lygia Groves Hickok Smalls) Kid) Essex,Other,Known,Asian American,0.0,Female,Hiep Tate Robinson Martin Winslet Max von Sydow
The Perils of Pauline,http://www.imdb.com/title/tt0114287/,US/Canada,1971,$18.7M,"Allen Edwards SchrÌ¦der Friedman Bliss Tammy Blanchard, Morgan Spector",1.0,Iris Guevara of Adams Jr. Essex,Artist,Known,Hispanic (White),0.0,Female,"Susan Steele Sydow and Arthur, Billie (older) Sydow"
The Pride of the Yankees,http://www.imdb.com/title/tt0068828/,US/UK/Canada,1929,$3.24M,"Victor Glen Avildsen Robert Leyburn Tammy Blanchard, Morgan Spector",1.1408508846579504,Buford Gladney Hayslip Richard Parker) Essex,Musician,Known,Multi racial,0.07869802057547293,Female,"Matt Josh Brown Derek Arthur, James (older) Sydow"
Gracie,http://www.imdb.com/title/tt1020072/,UK,1994,$364K,"Taylor Parello Refn Robert Pulcini Tammy Blanchard, Morgan Spector",1.0,"Ramses Ralston Rocket"" Caravaggio Peron Essex",Comedian,Unknown,Hispanic (Latino),0.0,Male,"Karlheinz Penn Robinson Pernilla Arthur, Austin von Sydow"
Blue,http://www.imdb.com/title/tt0469640/,US/UK,1942,$341K,"Myles MacKinnon Hill Barbato Sokolov Tammy Blanchard, Morgan Spector",1.0,Giacomo Murdoch Yi Donnie Peron Essex,Other,Unknown,,0.0,Male,Bradford Brody Robinson and Liya Kebede Whitelaw Sydow
The Inn of the Sixth Happiness,http://www.imdb.com/title/tt0824758/,Canada,2010,$539K,"Alexandre Glenville David Hickner Sokolov Tammy Blanchard, Morgan Spector",3.0,Leon Straight II Kennedy of Essex,Musician,Unknown,Hispanic (Latin American),0.0,Male,"Bradley Neeson Medeiros Jean Kemp, Max Whitelaw Sydow"
Anna and the King of Siam,http://www.imdb.com/title/tt0108002/,US,1983,$64.4M,"Gus Sirk Mankiewicz Requa Leyburn Tammy Blanchard, Morgan Spector",1.0,Chuck Christie (alias Dennis Jr. Essex,Other,Unknown,Middle Eastern,0.0,Male,Natalie Luke Nicholas Derek Winslet Kebede Whitelaw Sydow
Control,http://www.imdb.com/title/tt0412080/,Canada/UK,1968,$3.27K,"Bob Mayo Martinson Barbato Sokolov Tammy Blanchard, Morgan Spector",1.0,Salvador Flynt Bush Leroy Brasco) Essex,Criminal,Unknown,Mediterranean,0.0,Male,"Sandra Tate Abraham Martin Luke, Billie von Sydow"
The People vs. Larry Flynt,http://www.imdb.com/title/tt0119951/,US/Canada,1944,$31.8M,"Ted Hawks Chomsky Requa Ford, Tammy Blanchard, Morgan Spector",1.0,Sean Bolkovac Toulouse-Lautrec Menezes Scots Essex,Other,Unknown,Caribbean,0.0,Male,"Hugh Stack Young and August, Max Whitelaw Sydow"
Madame Curie,http://www.imdb.com/title/tt0804463/,US/UK/Canada,2006,$1M,"Tony Fellini Refn Weisman Bliss Tammy Blanchard, Morgan Spector",1.0349877655079154,T.S. McCandless Hoover Dennis Turner) Essex,Other,Unknown,African,0.1500400540677413,Male,"Sigourney Torreton Cusick Kate August, Billie Ellison Sydow"
Words and Music,http://www.imdb.com/title/tt2752688/,UK,1946,$75.3M,"Mervyn Roth Wellman Requa Sokolov Tammy Blanchard, Morgan Spector",1.0,Alferd Kinmont Great Caravaggio Kid) Essex,Athlete,Known,Middle Eastern (White),0.0,Female,"Julia Johansson Niro Pernilla Kemp, Billie (older) Sydow"
Annie Get Your Gun,http://www.imdb.com/title/tt0986233/,US/UK,1958,$1.04M,"Terence Boulting Refn Solt Sokolov Tammy Blanchard, Morgan Spector",1.0,Nick Feynman Carter Richard Jr. Essex,Athlete,Known,,0.0,Female,"Eddie Sedgwick FrÌÄå¦ler, Derek Winslet James Ellison Sydow"
I'm Not There.,http://www.imdb.com/title/tt1571222/,Canada,1975,$350M,"Simon Tucker Young Sarah-Violet Pulcini Tammy Blanchard, Morgan Spector",1.0,Rose Tolstoy Hickok Belaney) Jr. Essex,Historical,Known,,0.0,Female,"Tenzin Rush Carter Derek Kemp, Max Nichols Sydow"
Till the Clouds Roll By,http://www.imdb.com/title/tt0038000/,US,1986,$31.8M,"Alexander Balaban Smith Weisman Sokolov Tammy Blanchard, Morgan Spector",1.0,Frida Maher Mesmer Jackson Scots Essex,Musician,Known,Eurasian,0.0,Female,"Denzel Rasuk Law Jean August, James Whitelaw Sydow"
The Unsinkable Molly Brown,http://www.imdb.com/title/tt0062844/,Canada/UK,1961,$350M,"Mel Melo George Sykes Sokolov Tammy Blanchard, Morgan Spector",2.0,Julia Pasteur Bush Richard Jr. Essex,Actor,Known,Hispanic (Latina),0.0,Female,"Graham Beaty Burke Derek August, Austin Nichols Sydow"
The Winning Team,http://www.imdb.com/title/tt0054331/,US/Canada,1986,$2.17M,"Marcos Vidor Dutton Friedman Pulcini Tammy Blanchard, Morgan Spector",1.0,DMW Ma Maruge Kyi Brasco) Essex,Musician,Known,African American,0.0,Female,"Thomas Page and Pernilla August, Billie Ellison Sydow"
La Vie en Rose,http://www.imdb.com/title/tt0406158/,US/UK/Canada,1974,$21.1M,"Leslie Sawalich Sant Requa Sokolov Tammy Blanchard, Morgan Spector",1.512295189513443,Wild Sinatra Roosevelt Kyi Parker) Essex,Criminal,Known,White,0.014424363325748417,Female,Paul Watson Bernal Jean Liya Max Whitelaw Sydow
Confessions of a Dangerous Mind,http://www.imdb.com/title/tt0070511/,UK,1950,$4M,"Roberto M. DeMille Hanson Leyburn Tammy Blanchard, Morgan Spector",2.0,Alma Webb O'Keefe Crane Brasco) Essex,Author,Unknown,Asian American,0.0,Male,"Edie Keitel Law Derek August, Austin (older) Sydow"
Rhapsody in Blue,http://www.imdb.com/title/tt0045992/,US/UK,1958,$1.2M,"Sydney Hughes Concini Barbato Bliss Tammy Blanchard, Morgan Spector",1.0,Dorothy Pimentel Chopin Richard of Essex,Military,Unknown,,0.0,Male,"Irene Brody Young Jean August, Billie Whitelaw Sydow"
Donnie Brasco,http://www.imdb.com/title/tt0385726/,Canada,1965,$66.6M,"Thad Balaban Hill Sarah-Violet Sokolov Tammy Blanchard, Morgan Spector",1.0,Cole Houdini Gogh Crane Scots Essex,Criminal,Unknown,Multi racial,0.0,Male,"BeyoncÌ© Johansson FrÌÄå¦ler, and Liya Kebede (older) Sydow"
John Paul Jones,http://www.imdb.com/title/tt0097937/,US,1965,$16.8K,"Laurence Conway Andrew Weisman Leyburn Tammy Blanchard, Morgan Spector",1.0,Joy Rasputin Mesmer Aurore Brasco) Essex,Military,Unknown,Hispanic (Latino),0.0,Male,"Scott Rush Jordan Jean Arthur, James von Sydow"
American Splendor,http://www.imdb.com/title/tt0089420/,Canada/UK,1964,$12.1M,"Laurence Abraham Werker Stanislav Leyburn Tammy Blanchard, Morgan Spector",1.0,Eva Lafferty Nichols Richthofen Turner) Essex,Musician,Unknown,Indian,0.0,Male,"Judi Chester Cooper, Martin August, Kebede Whitelaw Sydow"
I'll Cry Tomorrow,http://www.imdb.com/title/tt0427309/,US/Canada,2011,$70M,"Joseph Brook Furie Sarah-Violet Sokolov Tammy Blanchard, Morgan Spector",1.0,"Wâadysâaw Pryor Alexander Halsey, Kid) Essex",World leader,Unknown,Hispanic (Latin American),0.0,Male,"Blanchard Ward Niro Kate August, Austin von Sydow"
Killer: A Journal of Murder,http://www.imdb.com/title/tt0046759/,US/UK/Canada,1986,$2.39M,"Moustapha Underwood Leonard Rosenberg Ford, Tammy Blanchard, Morgan Spector",1.2775576289062927,"Jimi Hamilton ""Bull"" Jackson Jr. Essex",Singer,Unknown,Middle Eastern,0.04106003674043794,Male,"Barbara Imperioli Dillman Jean Kemp, Kebede Nichols Sydow"
Stealing Sinatra,http://www.imdb.com/title/tt0049092/,UK,2006,$9.49M,"Matthew Jakubisko D'Sa, Sarah-Violet Leyburn Tammy Blanchard, Morgan Spector",1.0,W.T. Lennon Parker England of Essex,Activist,Known,Mediterranean,0.0,Female,Viggo Bullock Lee and Winslet James von Sydow
The First Grader,http://www.imdb.com/title/tt0274309/,US/UK,1930,$120M,"Geoffrey Chadwick SchrÌ¦der Trent Pulcini Tammy Blanchard, Morgan Spector",1.0,Denis Mandela VI Richthofen Parker) Essex,Other,Known,Caribbean,0.0,Female,George Kitsch (young) Derek Liya Billie Whitelaw Sydow
Hell to Eternity,http://www.imdb.com/title/tt0113987/,Canada,2006,$98.8K,"Michael Goldwyn Dyke Robert Leyburn Tammy Blanchard, Morgan Spector",1.0,Helene Price Suu Smalls) Kid) Essex,Athlete,Known,African,0.0,Female,"Matthew Hawthorne Lucas, Pernilla Luke, Kebede Whitelaw Sydow"
Monsieur N.,http://www.imdb.com/title/tt0083967/,US,1933,$35.1M,"Mary Vidor Caunes Panama Sokolov Tammy Blanchard, Morgan Spector",1.0,W.T. Edwards Beethoven Crane of Essex,Author (poet),Known,Middle Eastern (White),0.0,Female,Jean-Claude Day-Lewis Abraham and Winslet James Nichols Sydow
The Assassination of Trotsky,http://www.imdb.com/title/tt0049456/,Canada/UK,1951,$137K,"Blair Montgomery Peter Hanson Pulcini Tammy Blanchard, Morgan Spector",1.0,Vernon du Beethoven UK Parker) Essex,Author (poet),Known,Native American,0.0,Female,"Muhammad Warner Lucas, and Winslet Max (older) Sydow"
Nowhere Boy,http://www.imdb.com/title/tt0049665/,US/Canada,1968,$74.9K,"Mira Daniels Chomsky Friedman Ford, Tammy Blanchard, Morgan Spector",4.0,Wyatt F. Duarte Rocha Scots Essex,Athlete,Known,Asian,0.0,Female,Kristopher Branagh Peebles Kate Winslet James (older) Sydow
The Duchess,http://www.imdb.com/title/tt0462477/,US/UK/Canada,1931,$1.32M,"Stephen Herzog Dyke Satrapi Leyburn Tammy Blanchard, Morgan Spector",1.0386012059136231,Martin Mae Mesmer Richthofen Jr. Essex,Other,Known,Eurasian,0.24333340986023577,Female,"Wagner Giamatti Phillips and Arthur, Austin Nichols Sydow"
Boys Don't Cry,http://www.imdb.com/title/tt0068379/,UK,1977,$1.72M,"Xavier Kaplan Hayes, Satrapi Bliss Tammy Blanchard, Morgan Spector",1.0,Rembrandt Haigh-Wood Great Earl Jr. Essex,Academic,Unknown,Hispanic (Latina),0.0,Male,"Cuba Stanwyck Peebles Martin Arthur, Billie Ellison Sydow"
Rudy,http://www.imdb.com/title/tt0073496/,US/UK,1920,$2.16M,"Edo Lewin Werker Panama Sokolov Tammy Blanchard, Morgan Spector",1.0,Omar Romero 2nd Richard of Essex,Academic,Unknown,,0.0,Male,Leo Thewlis Jordan Jean Winslet Max Whitelaw Sydow
The Story of Alexander Graham Bell,http://www.imdb.com/title/tt0048937/,Canada,1996,$25.5M,"Dudley Temple Randy Westmoreland Ford, Tammy Blanchard, Morgan Spector",1.0,Bettie Sands Bell Earl Scots Essex,Other,Unknown,,0.0,Male,Helen Rooney Jones Derek Winslet Billie (older) Sydow
Stars and Stripes Forever,http://www.imdb.com/title/tt0455957/,US,1956,$144K,"FranÌ¤ois Levin, Marjane Glenn Sokolov Tammy Blanchard, Morgan Spector",1.0,Oskar Graziano (Robert Adams Parker) Essex,Military,Unknown,Asian American,0.0,Male,"Emma Dennings Wood Derek Arthur, Max Nichols Sydow"
"Edison, the Man",http://www.imdb.com/title/tt0114272/,Canada/UK,2005,$195K,"Darnell Anspaugh SchrÌ¦der Hickner Ford, Tammy Blanchard, Morgan Spector",1.0,Jake the CharriÌ¬re Aurore Turner) Essex,Academic,Unknown,Hispanic (White),0.0,Male,"Andy Hassett Law Derek Kemp, Billie Nichols Sydow"
Auto Focus,http://www.imdb.com/title/tt0111454/,US/Canada,1991,$25.5M,"Kasi Chapman, Coppola Satrapi Sokolov Tammy Blanchard, Morgan Spector",1.0,Benito Black 2nd Dennis Jr. Essex,Other,Unknown,,0.0,Male,"Mel Midler Nicholas Derek Arthur, Kebede von Sydow"
Geronimo,http://www.imdb.com/title/tt0038303/,US/UK/Canada,1964,$17.6M,"Catherine Bright D'Sa, Stanislav Pulcini Tammy Blanchard, Morgan Spector",1.0288688971365345,Alan Straight Yi Belaney) Kid) Essex,Criminal,Unknown,Hispanic (Latino),0.05611670459940516,Male,Debbie Phillip Tsarong Jean Winslet Kebede Ellison Sydow
Lady Jane,http://www.imdb.com/title/tt0119934/,UK,1965,$16M,"Irwin Cummings Davenport Rosenberg Leyburn Tammy Blanchard, Morgan Spector",1.0,Violette Kuklinski Muhammad of Brasco) Essex,Actor,Known,Indian,0.0,Female,Donald Oates (young) and Liya Austin Ellison Sydow
Tom & Viv,http://www.imdb.com/title/tt0375104/,US/UK,2001,$693K,"Cecil Conway Biesold, Panama Pulcini Tammy Blanchard, Morgan Spector",1.0,"Wilhelm Lennon ""Bob"" Rocha Parker) Essex",Musician,Known,Hispanic (Latin American),1.0,Female,Con Granger Sydow Kate Winslet Max Ellison Sydow
Strauss' Great Waltz,http://www.imdb.com/title/tt0038303/,Canada,1961,$1.15M,"D.W. Dahan D'Sa, Sarah-Violet Ford, Tammy Blanchard, Morgan Spector",1.0,"Amelia ""Hurricane"" O'Keefe England Turner) Essex",Actress / activist,Known,,0.0,Female,"Linus Hamilton Robinson Derek Luke, Austin Ellison Sydow"
Prick Up Your Ears,http://www.imdb.com/title/tt1551641/,US,1970,$4.08M,"Frank Trogi Olmos Trent Ford, Tammy Blanchard, Morgan Spector",1.0,Giacomo II Hickok Richthofen Turner) Essex,Singer,Known,Mediterranean,1.0,Female,"Shane Lofranco Kemp, Jean Luke, Austin Ellison Sydow"
Papillon,http://www.imdb.com/title/tt0099762/,Canada/UK,1990,$9.49M,"Christian Bill Martinson Sykes Bliss Tammy Blanchard, Morgan Spector",1.0,Jimmy Ford (Thaw) Crane Kid) Essex,Artist,Known,Caribbean,0.0,Female,Kristopher Ifans Robinson and Winslet Kebede (older) Sydow
The Chameleon,http://www.imdb.com/title/tt0099762/,US/Canada,1988,$10.1M,"Myles Kasdan Smith Sarah-Violet Bliss Tammy Blanchard, Morgan Spector",1.0,Blake Webb Stroud Aurore Brasco) Essex,Other,Known,African,0.0,Female,"D.B. Foxx and Derek Luke, Kebede Whitelaw Sydow"
The Visual Bible: The Gospel of John,http://www.imdb.com/title/tt0032155/,US/UK/Canada,2006,$3.15K,"Davis Potter Leonard Stanislav Bliss Tammy Blanchard, Morgan Spector",1.050683917338792,DMW Ruth Bell Munro Scots Essex,Government,Known,Middle Eastern (White),0.06078373513890605,Female,"Joan Murray Sydow Pernilla Arthur, Austin Whitelaw Sydow"
"Mary, Queen of Scots",http://www.imdb.com/title/tt0038948/,UK,2008,$19.3K,"Leon B. David Westmoreland Ford, Tammy Blanchard, Morgan Spector",1.0,"Patsy ""Evita"" Bernstein Aurore Parker) Essex",Author,Unknown,Native American,0.0,Male,"Jake Bates and Jean Luke, Billie Ellison Sydow"
Immortal Beloved,http://www.imdb.com/title/tt0070184/,US/UK,2007,$43.9M,"Warren Malle Refn Weisman Pulcini Tammy Blanchard, Morgan Spector",1.0,Frances Philip PrÌ© Aurore of Essex,Criminal,Unknown,,0.0,Male,Bo Close Bernal and Liya Austin (older) Sydow
Backbeat,http://www.imdb.com/title/tt0094819/,Canada,1942,$6M,"Joe Campus Andrew Panama Bliss Tammy Blanchard, Morgan Spector",1.0,Knute San Bullock Aurore Kid) Essex,Media,Unknown,Eurasian,0.0,Male,"Channing Ardant Basquiat Martin Kemp, James Whitelaw Sydow"
Wilde,http://www.imdb.com/title/tt0098513/,US,2007,$12.4M,"Denzel Wilder Schaffner Sykes Sokolov Tammy Blanchard, Morgan Spector",1.0,Lygia Friese-Greene / England Kid) Essex,Criminal,Unknown,Hispanic (Latina),0.0,Male,"Judi Archibald Nicholas Pernilla August, James (older) Sydow"
Julie & Julia,http://www.imdb.com/title/tt0049833/,Canada/UK,1999,$259K,"Charles Laven Norman Trent Leyburn Tammy Blanchard, Morgan Spector",2.0,Han Nicholas Kennedy Belaney) Brasco) Essex,Historical,Unknown,African American,0.0,Male,"Spencer Dunst Wood Jean Arthur, James (older) Sydow"
Swoon,http://www.imdb.com/title/tt0069225/,US/Canada,1989,$10.4K,"Jean-Paul Yakin Avildsen Weisman Ford, Tammy Blanchard, Morgan Spector",2.0,Novalyne Cobb Thompson the Kid) Essex,Singer,Unknown,,0.0,Male,"Reese Brando Sydow Martin Arthur, Billie Ellison Sydow"
Juarez,http://www.imdb.com/title/tt0341569/,US/UK/Canada,1974,$2.98M,"Joe Lewin George Stanislav Bliss Tammy Blanchard, Morgan Spector",1.0661903365664163,Rocky Curtis Hoover Anastasia Jr. Essex,Other,Unknown,Asian American,0.17548142111607434,Male,Wallace Grondin Le Kate Winslet Max (older) Sydow
A Mighty Heart,http://www.imdb.com/title/tt0385726/,UK,1975,$52.9M,"Ben Moors Wellman Hanson Bliss Tammy Blanchard, Morgan Spector",1.0,"Paul Wesley King, England Jr. Essex",Military,Known,Hispanic (White),0.0,Female,"Keke Knightley Cooper, and Liya Kebede (older) Sydow"
Hilary and Jackie,http://www.imdb.com/title/tt1068669/,US/UK,1990,$2.83M,"Roger Mora Dyke Robert Pulcini Tammy Blanchard, Morgan Spector",1.0,"Moses Ellis ""Bob"" of of Essex",Athlete,Known,Multi racial,0.0,Female,"Faye Diamond Cooper, Jean Arthur, Billie Ellison Sydow"
Casino,http://www.imdb.com/title/tt0050171/,Canada,1942,$16.8M,"Ron Lieberman Chomsky Friedman Pulcini Tammy Blanchard, Morgan Spector",1.0,Pete Sand Kurowsky Menezes Scots Essex,Historical,Known,Hispanic (Latino),0.0,Female,"Denzel Daniel (young) Pernilla Luke, James (older) Sydow"
Captain Kidd,http://www.imdb.com/title/tt0076106/,US,1964,$7.27M,"Hal Duguay Norman Hanson Ford, Tammy Blanchard, Morgan Spector",1.0,Cecil Gilot Hovick Rocha of Essex,Artist,Known,Indian,0.0,Female,Madonna Faulkner Bernal Jean Liya Austin Whitelaw Sydow
Riding in Cars with Boys,http://www.imdb.com/title/tt0070184/,Canada/UK,1997,$226K,"Carl Townsend Avildsen Pal Ford, Tammy Blanchard, Morgan Spector",2.0,Ìädith Mukhtar Jinnah Smalls) Peron Essex,Historical,Known,,0.0,Female,"Ginger Alda VolontÌ© Kate Luke, James Nichols Sydow"
Houdini,http://www.imdb.com/title/tt0049674/,US/Canada,1929,$14.4M,"Boaz Hampton D'Sa, Hickner Ford, Tammy Blanchard, Morgan Spector",1.0,"Oskar Lennon ""Spig"" Kennedy Jr. Essex",Other,Known,Middle Eastern,0.0,Female,"Diana Witherspoon Tsarong Jean Luke, Austin Ellison Sydow"
Bernard and Doris,http://www.imdb.com/title/tt0048937/,US/UK/Canada,1993,$84.9M,"Jeff Siegel Olmos Weisman Pulcini Tammy Blanchard, Morgan Spector",1.026707917339425,Elisabeth Verlaine Rawlings Earl of Essex,Historical,Known,Mediterranean,0.01712030148220895,Female,Judi Phillip Bernal Kate Liya James Whitelaw Sydow
Dangerous Minds,http://www.imdb.com/title/tt0284929/,UK,2005,$11.6M,"Justin Lang David Trent Sokolov Tammy Blanchard, Morgan Spector",1.0,Irene Arenas Cohan Anastasia Kid) Essex,Historical,Unknown,,0.0,Male,James Biswas Young and Liya Austin Nichols Sydow
The Plainsman,http://www.imdb.com/title/tt0035575/,US/UK,1933,$315K,"Taylor MÌÄå_llerschÌÄå¦n Hill Sykes Leyburn Tammy Blanchard, Morgan Spector",1.0,"Wâadysâaw Devereux, King, (Tina Parker) Essex",Artist,Unknown,African,0.0,Male,Marc Long Cusick Derek Liya James Nichols Sydow
Restoration,http://www.imdb.com/title/tt0161216/,Canada,1986,$532K,"Franklin McBride Biesold, Sarah-Violet Bliss Tammy Blanchard, Morgan Spector",2.0,Brigham Hunt Peebles (Tina Kid) Essex,Historical,Unknown,Middle Eastern (White),0.0,Male,"Vil Knox Burke and Kemp, Billie von Sydow"
Party Monster,http://www.imdb.com/title/tt1126590/,US,1990,$20.2M,"Darnell Duvivier Curtis Satrapi Leyburn Tammy Blanchard, Morgan Spector",1.0,ErzsÌ©bet (Genghis Queen Crane Jr. Essex,Author,Unknown,Native American,0.0,Male,"Larenz Bonham Toro Kate August, James Nichols Sydow"
